,Current_Page_Url,Title,Links,Images_with_url,Paragraph,Heading1,Heading2,Heading3,Heading4,Heading5
0,https://namal.edu.pk/admission-criteria,Namal Institute,https://namal.edu.pk/,https://namal.edu.pk/uploads/logo22869383.png,Please visit our fundraising website below:,Admissions,"
					 ", ,"
	",To Contribute
1, , ,https://namal.edu.pk/academic-calendar,https://namal.edu.pk/uploads/logo4980416.png,"
					BS CS","
	Admission Criteria","
					 ", ,"
	","
 160 Seats"
2, , ,https://namal.edu.pk/people#faculty, ,"
					BBA", ,"
					 ", ,"
	","
				"
3, , ,https://namal.edu.pk/quality-enhancement-cell, ,"
					BS EE", ,"
					 ", ,"
	","
				"
4, , ,https://lms.namal.edu.pk/, ,"
					BS Math", ,"
					 ", , ,"
				"
5, , ,http://library.namal.edu.pk/, ,"
	 ", ,"
					 ", , ,"
				"
6, , ,https://namal.edu.pk/contact-us, ,"
	 ", , , , ,"
					Visiting Namal"
7, , ,#about, ,"
				F.Sc. (Pre Engineering) ", , , , ,"
					Important Links"
8, , ,https://namal.edu.pk/chairmans-message, ,equivalent, , , , ,"
					Resources"
9, , ,https://namal.edu.pk/vision-and-mission, ,"
				", , , , , 
10, , ,https://namal.edu.pk/core-values, , DAE students allowed (as per PEC regulation), , , , , 
11, , ,https://namal.edu.pk/the-namal-story, ,"
				F.Sc. (Pre Engineering)    ", , , , , 
12, , ,https://namal.edu.pk/namal-knowledge-city, ,"
				F.Sc. (Math, Physics & Computer Science)    ", , , , , 
13, , ,https://namal.edu.pk/people, ,"
				equivalent (Pre-Medical students not allowed)", , , , , 
14, , ,https://namal.edu.pk/quality-enhancement-cell, ,"
				F.A./F.Sc.(any subject combination)/I.Com ", , , , , 
15, , ,#academics, , equivalent, , , , , 
16, , ,https://namal.edu.pk/academic-calendar, ,"
				F.A./F.Sc. with mathematics ", , , , , 
17, , ,https://namal.edu.pk/student-handbook, , equivalent, , , , , 
18, , ,#departments, ,"
	 ", , , , , 
19, , ,#, ,"
	Namal aggregate merit criteria will be based on matriculation exam and admission test as following.", , , , , 
20, , ,https://namal.edu.pk/department-of-electrical-engineering, ,"
					Matriculation / Equivalence", , , , , 
21, , ,https://namal.edu.pk/department-of-computer-science, ,"
					Namal Institute Entry Test", , , , , 
22, , ,https://namal.edu.pk/department-of-business-studies, , , , , , , 
23, , ,https://namal.edu.pk/department-of-mathematics, , , , , , , 
24, , ,#, , , , , , , 
25, , ,https://namal.edu.pk/office-of-the-registrar, , , , , , , 
26, , ,https://namal.edu.pk/office-of-the-coe, , , , , , , 
27, , ,https://namal.edu.pk/office-of-the-treasurer, , , , , , , 
28, , ,#admissions, , , , , , , 
29, , ,https://namal.edu.pk/apply, , , , , , , 
30, , ,https://namal.edu.pk/why-namal, , , , , , , 
31, , ,https://namal.edu.pk/admission-timeline, , , , , , , 
32, , ,https://namal.edu.pk/admission-criteria, , , , , , , 
33, , ,https://namal.edu.pk/entry-test-guidelines, , , , , , , 
34, , ,https://namal.edu.pk/financial-aid, , , , , , , 
35, , ,https://namal.edu.pk/fee-structure, , , , , , , 
36, , ,https://namal.edu.pk/deposit-slip, , , , , , , 
37, , ,https://namal.edu.pk/faqs, , , , , , , 
38, , ,#life-at-namal, , , , , , , 
39, , ,https://namal.edu.pk/workshops-and-seminars, , , , , , , 
40, , ,https://namal.edu.pk/facilities, , , , , , , 
41, , ,https://namal.edu.pk/green-namal, , , , , , , 
42, , ,https://namal.edu.pk/news-events, , , , , , , 
43, , ,https://namal.edu.pk/apply, , , , , , , 
44, , ,, , , , , , , 
45, , ,https://www.namalknowledgecity.com/, , , , , , , 
46, , ,https://namal.edu.pk/academic-calendar, , , , , , , 
47, , ,https://namal.edu.pk/people#faculty, , , , , , , 
48, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , 
49, , ,https://lms.namal.edu.pk/, , , , , , , 
50, , ,http://library.namal.edu.pk/, , , , , , , 
51, , ,https://namal.edu.pk/contact-us, , , , , , , 
52, , ,https://namal.edu.pk/apply, , , , , , , 
53, , ,https://namal.edu.pk/why-namal, , , , , , , 
54, , ,https://namal.edu.pk/admission-timeline, , , , , , , 
55, , ,https://namal.edu.pk/admission-criteria, , , , , , , 
56, , ,https://namal.edu.pk/entry-test-guidelines, , , , , , , 
57, , ,https://namal.edu.pk/financial-aid, , , , , , , 
58, , ,https://namal.edu.pk/fee-structure, , , , , , , 
59, , ,https://namal.edu.pk/deposit-slip, , , , , , , 
60, , ,https://namal.edu.pk/faqs, , , , , , , 
61, , ,#, , , , , , , 
62, , ,#, , , , , , , 
63, , ,/, , , , , , , 
64, , ,https://www.namalknowledgecity.com, , , , , , , 
65, , ,https://namal.edu.pk/apply, , , , , , , 
66, , ,/academic-calendar, , , , , , , 
67, , ,, , , , , , , 
68, , ,/people#faculty, , , , , , , 
69, , ,https://nulms.namal.edu.pk, , , , , , , 
70, , ,http://library.namal.edu.pk, , , , , , , 
71, , ,#!, , , , , , , 
72, , ,/facilities, , , , , , , 
73, , ,https://www.facebook.com/NAmalInstitute/, , , , , , , 
74, , ,https://twitter.com/namaledu, , , , , , , 
75, , ,https://www.instagram.com/namalknowledgecity/, , , , , , , 
76, , ,mailto:info@namal.edu.pk, , , , , , , 
77, , ,https://www.youtube.com/channel/UCWfFHczAYAn-mfqMgmmKsVQ, , , , , , , 
78, , ,https://forecast7.com/en/32d6771d81/namal/, , , , , , , 
79, , ,https://namal.edu.pk/, , , , , , , 
